New Partners Starter,Cumulative Partners Starter,New Locations Starter,Cumulative Locations Starter,Cumulative Gateways Starter,Cumulative Cameras Starter,Cumulative Location License Fees Starter,Cumulative Gateway License Fees Starter,Cumulative Cameras License Fees Starter,Total License Fee Starter,New Partners Advanced,Cumulative Partners Advanced,New Locations Advanced,Cumulative Locations Advanced,Cumulative Gateways Advanced,Cumulative Cameras Advanced,Cumulative Location License Fees Advanced,Cumulative Gateway License Fees Advanced,Cumulative Cameras License Fees Advanced,Total License Fee Advanced,New Partners Enterprise,Cumulative Partners Enterprise,New Locations Enterprise,Cumulative Locations Enterprise,Cumulative Gateways Enterprise,Cumulative Cameras Enterprise,Cumulative Location License Fees Enterprise,Cumulative Gateway License Fees Enterprise,Cumulative Cameras License Fees Enterprise,Total License Fee Enterprise,New Partners Operator,Cumulative Partners Operator,New Locations Operator,Cumulative Locations Operator,Cumulative Gateways Operator,Cumulative Cameras Operator,Cumulative Location License Fees Operator,Cumulative Gateway License Fees Operator,Cumulative Cameras License Fees Operator,Total License Fee Operator,Total Cumulative Costs,Total License Fee Monthly (All Models),Total Cumulative License Fee (All Models),Sales Commission Per Month,Total Cumulative Sales Commission,Cash Flow Per Month,Total Cumulative Cash Flow,Valuation Per Year
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0,0.0,100000,0.0,0.0,0.0,0.0,-100000.0,-100000.0,"$921,102"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,50,1500,3500,7500,2250.0,13250.0,200000,13250.0,13250.0,3312.5,3312.5,-90062.5,-190062.5,"$25,674,081"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,100,3000,8750,18750,5625.0,33125.0,300000,33125.0,46375.0,8281.25,11593.75,-75156.25,-265218.75,"$119,496,215"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,150,4500,15750,33750,10125.0,59625.0,400000,59625.0,106000.0,14906.25,26500.0,-55281.25,-320500.0,"$315,306,665"
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,20,200,6000,24500,52500,15750.0,92750.0,500000,92750.0,198750.0,23187.5,49687.5,-30437.5,-350937.5,"$630,619,625"
1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,25,250,7500,35000,75000,22500.0,132500.0,600000,132500.0,331250.0,33125.0,82812.5,-625.0,-351562.5,
1,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,12,37,370,11100,49700,106500,31950.0,188150.0,700000,188150.0,519400.0,47037.5,129850.0,41112.5,-310450.0,
1,4,1,1,5,150,500,500,0,1000,0,2,1,1,10,700,350,750,0,1100,1,4,1,1,15,1500,200,750,0,950,0,0,12,49,490,14700,68600,147000,44100.0,259700.0,800000,262750.0,782150.0,65687.5,195537.5,97062.5,-213387.5,
1,5,1,2,10,300,1500,1500,0,3000,1,3,0,1,10,700,700,1500,0,2200,1,5,1,2,30,3000,600,2250,0,2850,0,0,12,61,610,18300,91700,196500,58950.0,347150.0,900000,355200.0,1137350.0,88800.0,284337.5,166400.0,-46987.5,
0,5,1,3,15,450,3000,3000,0,6000,0,3,1,2,20,1400,1400,3000,0,4400,0,5,1,3,45,4500,1200,4500,0,5700,0,0,12,73,730,21900,119000,255000,76500.0,450500.0,1000000,466600.0,1603950.0,116650.0,400987.5,249950.0,202962.5,
