New Partners Starter,Cumulative Partners Starter,New Locations Starter,Cumulative Locations Starter,Cumulative Gateways Starter,Cumulative Cameras Starter,Cumulative Location License Fees Starter,Cumulative Gateway License Fees Starter,Cumulative Cameras License Fees Starter,Total License Fee Starter,Total Cumulative Costs,Total License Fee Monthly (All Models),Total Cumulative License Fee (All Models),Sales Commission Per Month,Total Cumulative Sales Commission,Cash Flow Per Month,Total Cumulative Cash Flow,Valuation Per Year
0,0,5,0,0,0,0,0,0.0,0.0,100000,0.0,0.0,0.0,0.0,-100000.0,-100000.0,"$853,227"
0,0,5,5,50,1500,3500,7500,2250.0,13250.0,200000,13250.0,13250.0,3312.5,3312.5,-90062.5,-190062.5,"$23,518,946"
0,0,5,10,100,3000,8750,18750,5625.0,33125.0,300000,33125.0,46375.0,8281.25,11593.75,-75156.25,-265218.75,"$108,929,752"
0,0,5,15,150,4500,15750,33750,10125.0,59625.0,400000,59625.0,106000.0,14906.25,26500.0,-55281.25,-320500.0,"$286,325,575"
0,0,5,20,200,6000,24500,52500,15750.0,92750.0,500000,92750.0,198750.0,23187.5,49687.5,-30437.5,-350937.5,"$571,134,144"
0,0,5,25,250,7500,35000,75000,22500.0,132500.0,600000,132500.0,331250.0,33125.0,82812.5,-625.0,-351562.5,
0,0,12,37,370,11100,49700,106500,31950.0,188150.0,700000,188150.0,519400.0,47037.5,129850.0,41112.5,-310450.0,
0,0,12,49,490,14700,68600,147000,44100.0,259700.0,800000,259700.0,779100.0,64925.0,194775.0,94775.0,-215675.0,
0,0,12,61,610,18300,91700,196500,58950.0,347150.0,900000,347150.0,1126250.0,86787.5,281562.5,160362.5,-55312.5,
0,0,12,73,730,21900,119000,255000,76500.0,450500.0,1000000,450500.0,1576750.0,112625.0,394187.5,237875.0,182562.5,
0,0,12,85,850,25500,150500,322500,96750.0,569750.0,1100000,569750.0,2146500.0,142437.5,536625.0,327312.5,509875.0,
0,0,12,97,970,29100,186200,399000,119700.0,704900.0,1200000,704900.0,2851400.0,176225.0,712850.0,428675.0,938550.0,
0,0,40,137,1370,41100,235900,505500,151650.0,893050.0,1300000,893050.0,3744450.0,223262.5,936112.5,569787.5,1508337.5,
0,0,40,177,1770,53100,299600,642000,192600.0,1134200.0,1400000,1134200.0,4878650.0,283550.0,1219662.5,750650.0,2258987.5,
